業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/04/27,月,平日,,曇,22.0,14.0,計,449539,600000,0.7492,0.7492,575826,0.7807,177,72,2539.8,2.01,300,0.5900,271,0.6531,0,176901,0.3935,0.3935,0,120800,0.2687,0.2687,0.6622,0.6622,4517,5971.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/04/28,火,平日,,曇,25.0,15.0,計,359450,500000,0.7189,0.7354,621898,0.5780,144,65,2496.2,1.64,250,0.5760,268,0.5373,0,189321,0.5267,0.4527,0,119759,0.3332,0.2974,0.8599,0.7500,4770,4521.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/04/29,水,日祝,,曇,20.0,16.0,計,642885,650000,0.9891,0.8296,475203,1.3529,274,117,2346.3,3.11,325,0.8431,211,1.2986,0,32560,0.0506,0.2747,0,171509,0.2668,0.2838,0.3174,0.5585,6739,5723.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/04/30,木,平日,,雨,17.0,13.0,計,536142,500000,1.0723,0.8836,411889,1.3017,213,92,2517.1,2.42,250,0.8520,218,0.9771,0,,0.0000,0.2006,0,148548,0.2771,0.2820,0.2771,0.4826,5799,5547.3,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/04/27,月,平日,,晴,22.0,14.0,計,132084,140000,0.9435,0.9435,135498,0.9748,76,44,1737.9,0.86,74,1.0270,72,1.0556,0,105521,0.7989,0.7989,0,53650,0.4062,0.4062,1.2051,1.2051,2542,3117.6,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/04/28,火,平日,,曇,26.0,14.0,計,137357,200000,0.6868,0.7925,354201,0.3878,78,44,1761.0,0.89,105,0.7429,178,0.4382,0,33401,0.2432,0.5156,0,63351,0.4612,0.4342,0.7044,0.9498,2896,2845.8,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/04/29,水,日祝,,曇,20.0,16.0,計,235462,360000,0.6541,0.7213,192597,1.2226,129,63,1825.3,1.47,189,0.6825,100,1.2900,0,13421,0.0570,0.3017,0,97653,0.4147,0.4251,0.4717,0.7269,4206,3358.9,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/04/30,木,平日,,雨,16.0,12.0,計,155807,180000,0.8656,0.7508,210781,0.7392,77,47,2023.5,0.88,95,0.8105,108,0.7130,0,45978,0.2951,0.3002,0,64072,0.4112,0.4219,0.7063,0.7220,2827,3306.8,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/04/27,月,平日,,晴,22.0,14.0,計,157655,250000,0.6306,0.6306,260495,0.6052,66,32,2388.7,1.94,162,0.4074,119,0.5546,0,108856,0.6905,0.6905,0,55890,0.3545,0.3545,1.0450,1.0450,2051,4612.0,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/04/28,火,平日,,晴,27.0,13.0,計,302050,250000,1.2082,0.9194,338086,0.8934,109,54,2771.1,3.21,162,0.6728,140,0.7786,0,121690,0.4029,0.5015,0,66694,0.2208,0.2667,0.6237,0.7682,2578,7029.9,,0.0000,
