業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/06,月,平日,,雨,23.0,23.0,計,662135,400000,1.6553,1.6553,280582,2.3599,212,71,3123.3,2.41,0,,119,1.7815,0,65635,0.0991,0.0991,0,108279,0.1635,0.1635,0.2627,0.2627,4684,8481.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/07,火,平日,,曇,28.0,22.0,計,489871,650000,0.7536,1.0971,488185,1.0035,201,69,2437.2,2.28,0,,224,0.8973,0,131520,0.2685,0.1711,0,112756,0.2302,0.1919,0.4987,0.3630,5101,5762.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/08,水,平日,,曇,30.0,24.0,計,468945,450000,1.0421,1.0806,483040,0.9708,197,78,2380.4,2.24,0,,198,0.9949,0,40169,0.0857,0.1464,0,109809,0.2342,0.2041,0.3198,0.3505,4623,6086.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/09,木,平日,,晴,31.0,25.0,計,487489,500000,0.9750,1.0542,494872,0.9851,193,83,2525.8,2.19,0,,190,1.0158,0,164953,0.3384,0.1908,0,121007,0.2482,0.2143,0.5866,0.4051,5185,5641.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/10,金,平日,,晴,32.0,25.0,計,480429,500000,0.9609,1.0355,611021,0.7863,205,78,2343.6,2.33,0,,243,0.8436,0,87460,0.1820,0.1892,0,102774,0.2139,0.2142,0.3960,0.4034,4439,6493.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/11,土,土曜,,晴,31.0,26.0,計,919133,800000,1.1489,1.0630,728876,1.2610,398,153,2309.4,4.52,0,,323,1.2322,0,,0.0000,0.1396,0,165948,0.1805,0.2054,0.1805,0.3450,7244,7612.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/12,日,日祝,,晴,32.0,26.0,計,670886,700000,0.9584,1.0447,701314,0.9566,329,132,2039.2,3.74,0,,326,1.0092,0,,0.0000,0.1172,0,159601,0.2379,0.2106,0.2379,0.3278,7267,5539.2,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/06,月,平日,,雨,25.0,23.0,計,139393,120000,1.1616,1.1616,101522,1.3730,68,38,2049.9,0.77,63,1.0794,55,1.2364,0,49455,0.3548,0.3548,0,45538,0.3267,0.3267,0.6815,0.6815,2130,3926.6,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/07,火,平日,,曇,28.0,22.0,計,188747,140000,1.3482,1.2621,124375,1.5176,100,50,1887.5,1.14,74,1.3514,74,1.3514,0,29049,0.1539,0.2392,0,57885,0.3067,0.3152,0.4606,0.5544,2557,4428.9,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/08,水,平日,,曇,30.0,24.0,計,86408,130000,0.6647,1.0629,114787,0.7528,53,31,1630.3,0.60,68,0.7794,66,0.8030,0,36634,0.4240,0.2777,0,53499,0.6191,0.3785,1.0431,0.6563,2341,2214.6,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/09,木,平日,,晴,31.0,24.0,計,167444,130000,1.2880,1.1192,116332,1.4394,92,43,1820.0,1.05,68,1.3529,67,1.3731,0,18873,0.1127,0.2303,0,56247,0.3359,0.3663,0.4486,0.5965,2586,3885.0,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/10,金,平日,,晴,32.0,24.0,計,165375,230000,0.7190,0.9965,210868,0.7843,89,45,1858.1,1.01,121,0.7355,89,1.0000,0,143495,0.8677,0.3713,0,58495,0.3537,0.3635,1.2214,0.7348,2515,3945.3,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/11,土,土曜,,晴,31.0,26.0,計,312372,280000,1.1156,1.0289,275285,1.1347,150,63,2082.5,1.70,147,1.0204,143,1.0490,0,39090,0.1251,0.2987,0,98213,0.3144,0.3490,0.4396,0.6478,4257,4402.7,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/12,日,日祝,,晴,32.0,24.0,計,329043,250000,1.3162,1.0850,247876,1.3275,167,74,1970.3,1.90,132,1.2652,124,1.3468,0,,0.0000,0.2280,0,89952,0.2734,0.3311,0.2734,0.5591,3803,5191.3,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/06,月,平日,,雨,23.0,22.0,計,157472,210000,0.7499,0.7499,195944,0.8037,75,38,2099.6,2.21,134,0.5597,98,0.7653,0,94591,0.6007,0.6007,0,55876,0.3548,0.3548,0.9555,0.9555,2465,3833.0,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/07,火,平日,,曇,29.0,22.0,計,110363,210000,0.5255,0.6377,228105,0.4838,54,23,2043.8,1.59,134,0.4030,99,0.5455,0,32942,0.2985,0.4762,0,50516,0.4577,0.3972,0.7562,0.8734,2356,2810.6,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/08,水,平日,,曇,30.0,24.0,計,194423,210000,0.9258,0.7337,173167,1.1227,84,37,2314.6,2.47,134,0.6269,76,1.1053,0,77077,0.3964,0.4426,0,51658,0.2657,0.3419,0.6621,0.7845,2288,5098.5,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/09,木,平日,,晴,34.0,24.0,計,237448,210000,1.1307,0.8330,201773,1.1768,105,52,2261.4,3.09,134,0.7836,88,1.1932,0,36478,0.1536,0.3446,0,51260,0.2159,0.2991,0.3695,0.6437,2132,6682.4,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/10,金,平日,,晴,34.0,23.0,計,241225,220000,1.0965,0.8877,285196,0.8458,89,42,2710.4,2.62,141,0.6312,123,0.7236,0,76765,0.3182,0.3378,0,56804,0.2355,0.2828,0.5537,0.6206,2371,6104.4,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/11,土,土曜,,晴,33.0,26.0,計,265908,360000,0.7386,0.8499,319814,0.8314,117,56,2272.7,3.44,276,0.4239,124,0.9435,0,6032,0.0227,0.2684,0,67177,0.2526,0.2762,0.2753,0.5445,3065,5205.4,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/12,日,日祝,,晴,34.0,25.0,計,244072,360000,0.6780,0.8151,301065,0.8107,108,47,2259.9,3.18,288,0.3750,131,0.8244,0,,0.0000,0.2232,0,59026,0.2418,0.2704,0.2418,0.4936,2593,5647.6,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/07/06,月,平日,,雨,25.0,23.0,計,196608,150000,1.3107,1.3107,184864,1.0635,99,66,1985.9,1.77,83,1.1928,106,0.9340,0,39930,0.2031,0.2031,0,67913,0.3454,0.3454,0.5485,0.5485,3113,3789.4,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/07/07,火,平日,,曇,28.0,22.0,計,161714,150000,1.0781,1.1944,204401,0.7912,80,49,2021.4,1.43,83,0.9639,119,0.6723,0,76183,0.4711,0.3240,0,71447,0.4418,0.3889,0.9129,0.7130,3092,3138.0,,0.0000,
