営業日,曜日,曜日区分,企業コード,企業名,営業部コード,営業部名,業態コード,業態名,店舗コード,店舗名,税込/税抜,メニュー大分類コード,メニュー大分類名称,メニュー中分類コード,メニュー中分類名称,メニューコード,メニュー名,売価,予定原価,営業日別販売数
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0501,ぬかるみ焼          ,850,201.00,1.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0502,千房焼(大盛)        ,2300,458.00,6.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0503,豚玉                ,1180,165.00,11.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0504,いか玉              ,1180,181.00,1.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0506,もちチーズ玉        ,1500,190.00,1.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0507,ミックスねぎ焼      ,1880,366.00,5.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0508,道頓堀焼(大盛)      ,2080,323.00,31.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0509,ミックス焼          ,1580,201.00,2.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0510,ミックス広島焼      ,1880,270.00,3.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0511,ミックスもだん焼    ,1880,262.00,2.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0520,明太チーズふわとろ焼,1900,439.00,1.0
